epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_f1,val_f1,train_precision,val_precision,train_recall,val_recall
1,0.1576379061420306,0.14392789206139395,94.73875887836735,95.02931863430894,0.839915246524357,0.8327028029460075,0.8960897813725457,0.8322059986443742,0.7903682379032015,0.8332002007592091
2,0.11718365046599234,0.13700647774937433,96.23696287025449,95.39214132557801,0.8887161127224816,0.83561479706455,0.9189037403122543,0.8883192561516355,0.8604488331420123,0.7888140361790715
3,0.10765472885199065,0.15921329913256654,96.49871563773375,94.40978078456602,0.8967405350778226,0.820430180028319,0.9244962106102912,0.7842250107955168,0.870602871618576,0.860140107307211
4,0.10129156257718361,0.1314813731794672,96.66884444129586,95.52936743747685,0.9020517307089944,0.8453805457498843,0.9270280641774998,0.8688236544939734,0.8783859315932134,0.8231693092893548
5,0.09659425267710425,0.1367603309326458,96.7997208250355,95.32423670271105,0.9060325022611675,0.8309894954077974,0.9297371824670253,0.8967380624877186,0.8835065239471833,0.7742236485865562
6,0.09318307923020994,0.1701884677234544,96.89501814374887,94.5478465208589,0.9088337393281902,0.7883855120342667,0.932578442935788,0.9302609506505741,0.8862681579690721,0.6840587291376544
7,0.09047156027816519,0.15020072807344198,96.97058429955683,95.23444936907474,0.9111512978168358,0.8286071797272073,0.9338646122200454,0.8890076824324598,0.8895166088696833,0.7758919293384136
8,0.08834218246469254,0.13704421419032212,97.02914807030801,95.30014997790738,0.9128839113835813,0.8363079408770477,0.9354711542403724,0.8659374349463484,0.8913617049408908,0.8086390080798512
9,0.08651861896260236,0.13882863015675603,97.08981090094274,95.38762834446011,0.914650944107657,0.8379362099929565,0.9374181764266087,0.8759058809017177,0.892963392572737,0.8031216643221195
10,0.08498189494423963,0.1383480888656796,97.13084752166624,95.30791650355214,0.9158601501051844,0.828408635125825,0.9385907638540611,0.9062753248934518,0.8942044751092333,0.7628637877042054
